"","Model","Dist","AICc","AIC","DeltaAIC","Params","LogLik"
"29","k_12/k_23/k_24 Interference","Poisson",87.8662169035456,87.7948591235654,13.7237756060749,8,-35.8974295617827
"26","k_12/k_14/k_23 Interference","Poisson",88.3072925768397,88.2359347968595,14.164851279369,8,-36.1179673984298
"481","k_12/k_14/k_23/k_24 Interference","Negative Binomial",88.995506640829,88.886379656702,14.8152961392116,10,-34.443189828351
"301","k_12/k_23/k_34 Interference","Negative Binomial",89.4336499892813,89.3444085415867,15.2733250240963,9,-35.6722042707934
"21","k_24/k_34 Interference","Poisson",89.9559410763788,89.90046806994,15.8293845524495,7,-37.95023403497
"10","k_12/k_24 Interference","Poisson",90.1540694272946,90.0985964208558,16.0275129033653,7,-38.0492982104279
"5","k_24 Interference","Poisson",90.2437369095182,90.2021527511024,16.1310692336119,6,-39.1010763755512
"19","k_23/k_24 Interference","Poisson",90.2949052722062,90.2394322657674,16.1683487482769,7,-38.1197161328837
"41","k_23/k_24/k_34 Interference","Poisson",91.4364478658722,91.365090085892,17.2940065684015,8,-37.682545042946
"211","k_24/k_34 Interference","Negative Binomial",92.1102439755418,92.0388861955616,17.9678026780712,8,-38.0194430977808
"101","k_12/k_24 Interference","Negative Binomial",92.1625818445432,92.091224064563,18.0201405470725,8,-38.0456120322815
"311","k_12/k_24/k_34 Interference","Negative Binomial",92.2239287719419,92.1346873242474,18.0636038067569,9,-37.0673436621237
"510","k_24 Interference","Negative Binomial",92.2938568544006,92.2383838479618,18.1673003304713,7,-39.1191919239809
"291","k_12/k_23/k_24 Interference","Negative Binomial",93.3341334639952,93.2448920163006,19.1738084988101,9,-37.6224460081503
"191","k_23/k_24 Interference","Negative Binomial",93.4160791048821,93.3447213249019,19.2736378074114,8,-38.672360662451
"411","k_23/k_24/k_34 Interference","Negative Binomial",93.5676897543779,93.4784483066833,19.4073647891928,9,-37.7392241533416
"511","k_12/k_23/k_24/k_34 Interference","Negative Binomial",93.6806459576071,93.5715189734801,19.5004354559896,10,-36.7857594867401
